personLabel,occupationLabel,institutionLabel
Anna Mullikin,mathematician,Goucher College
Ng'endo Mwangi,physician,Smith College
Caroline M. McGill,physician,University of Missouri
Käte Fenchel,mathematician,Humboldt University of Berlin
Haley Gomez,physicist,Cardiff University
Phyllis Wise,biologist,Swarthmore College
Camille Petit,chemist,City University of New York
Mayana Zatz,biologist,"University of California, Los Angeles"
Concepción Rodríguez Jiménez,biologist,National Autonomous University of Mexico
Nataliya Vlasenko,physicist,National University of Kharkiv
Caroline M. McGill,physician,Johns Hopkins School of Medicine
Iryna Liutikova,engineer,Rostov State University
Alla Orsa Romano,chemist,New York University Tandon School of Engineering
Asuncion Raymundo,biologist,University of Hawaii
Mary Blair Moody,physician,Woman's Medical College of Pennsylvania
Irene Carswell Peden,engineer,University of Colorado
Nawal El Saadawi,physician,Columbia University
Linda Edwards Graham,botanist,University of Texas at Austin
Josefina Landete Aragó,physician,University of Valencia
Angélica M. Arambarri,botanist,National University of La Plata
Carole Goble,computer scientist,Maidstone Grammar School for Girls
Vicki Grassian,chemist,Rensselaer Polytechnic Institute
Julia R. Burdge,chemist,University of South Florida
Fayizah alrawi,physician,University of Baghdad
Farrokhroo Parsa,physician,University of Tehran
Eva J. Pell,biologist,Rutgers University
Frederique Vanholsbeeck,physicist,Institut Supérieur d'Architecture Intercommunal Victor Horta
Nancy Dickey,physician,Stephen F. Austin State University
Elzbieta Rynska,engineer,Warsaw University of Technology
Talina Herasymova,physician,Kyiv State Medical Institute
Agata Ciabattoni,mathematician,University of Milan
Maria de Nazaré do Carmo Bastos,botanist,Federal University of Rio de Janeiro
Mandy Vaughn,engineer,Massachusetts Institute of Technology
Helen Elizabeth Nash,physician,Spelman College
Jacquelin Smith Cooley,botanist,Randolph–Macon College
Tânia Wendt,botanist,Federal University of Rio de Janeiro
Androniki Drakou,physician,Aristotle University of Thessaloniki
Seda Petrossian,engineer,National Polytechnic University of Armenia
Soumya Swaminathan,physician,University of Madras
Ng'endo Mwangi,physician,Albert Einstein College of Medicine
Rejji Kuruvilla,biologist,University of Houston
Lena B. Smithers Hughes,botanist,Wayne State University
Mary Tinetti,physician,University of Michigan Medical School
Matilda J. Clerk,physician,University of Edinburgh Medical School
Charlotte Froese Fischer,mathematician,University of British Columbia
Coralie Colmez,mathematician,Gonville and Caius College
Diana McSherry,computer scientist,Harvard University
Karen Spärck Jones,computer scientist,Girton College
Regina S. Burachik,mathematician,Instituto Nacional de Matemática Pura e Aplicada
Charlotte Fitch Roberts,chemist,Wellesley College
Margaret Irving Handy,physician,Goucher College
Agnes Sime Baxter,mathematician,Cornell University
Kate Violet Edgerley,botanist,University of Auckland
Izabela Abramowicz,mathematician,Taras Shevchenko National University of Kyiv
Mary D'Imperio,mathematician,Radcliffe College
Florica Topârceanu,biologist,University of Bucharest
Genowefa Łoskiewicz,mathematician,AGH University of Science and Technology
Zoe Williams,physician,Newcastle University
May Ratnayake,physician,University of Edinburgh
Lai-Sang Young,mathematician,University of Wisconsin–Madison
Lisa Littman,physician,Robert Wood Johnson Medical School
Sally Ride,physicist,Harvard-Westlake School
Tracy Fullerton,computer scientist,USC School of Cinematic Arts
Creu Casas Sicart,botanist,University of Barcelona
Claire Voisin,mathematician,University of Paris-Sud
Carolyn Calfee,physician,University of Pennsylvania
Graciela Salicrup,mathematician,National Autonomous University of Mexico
Dilma Da Silva,computer scientist,Georgia Institute of Technology
Vanessa Kerry,physician,Phillips Academy
Agnes Sime Baxter,mathematician,Dalhousie University
Amy Jean Gilmartin,botanist,University of Washington
Nancy M. Amato,computer scientist,"University of California, Berkeley"
Herta Oberheuser,physician,University of Bonn
Maha Al Muneef,physician,King Saud University
Jennifer L. Martin,chemist,University of Oxford
Irma Klausner-Cronheim,physician,University of Halle-Wittenberg
Else Rosenthal,physician,University of Halle-Wittenberg
Martha Evens,computer scientist,Radcliffe College
Esther Takeuchi,chemist,Ohio State University
Dan D. Yang,physicist,Nanjing University
Chen Zhili,physicist,Fudan University
Diana Hargreaves,biologist,Yale University
Jane B. Reece,biologist,Rutgers University
Solenn Colléter,engineer,French Civil Aviation University
Charlotte Froese Fischer,physicist,University of British Columbia
Frauke Petry,chemist,University of Reading
Hedvig Hricak,physician,"School of Medicine, University of Zagreb"
Rajaa al-Sanea,physician,King Saud University
Shandelle Henson,mathematician,Southern Adventist University
Ida Martha Metcalf,mathematician,Cornell University
Peggy Etter,chemist,University of Minnesota
Susan Athey,computer scientist,Duke University
María Teresa Murillo,botanist,National University of Colombia
Annette Ashberry,engineer,Loughborough University
Catherine L. Woodward,botanist,University of Wisconsin–Madison
Belén Garijo,physician,University of Alcalá
Tatyana Bakhteeva,physician,Donetsk National Medical University
Helen Iglauer Glueck,physician,University of Wisconsin–Madison
Jessie MacWilliams,computer scientist,Johns Hopkins University
Jill Seaman,physician,Middlebury College
Melba Roy Mouton,computer scientist,Howard University
Carolina Torrealba Ruiz-Tagle,biologist,Pontifical Catholic University of Chile
Margaret Eliza Maltby,physicist,Oberlin College
Dolors Aleu i Riera,physician,University of Barcelona
Birgit Vogel-Heuser,computer scientist,RWTH Aachen University
Salinee Tavaranan,engineer,Chulalongkorn University
Emily Stanley,biologist,Texas State University
Michiko Kido,physician,University of Tokyo
Anna Laromaine,chemist,Pompeu Fabra University
Rachel Haurwitz,chemist,"University of California, Berkeley"
Diana Sarno,botanist,University of Naples Federico II
Betül Kaçar,chemist,Emory University
Killi Krupa Rani,physician,Andhra Medical College
Charlotte Froese Fischer,chemist,University of British Columbia
Krystyna Bierut-Maminajszwili,engineer,Faculty of Architecture of Warsaw University of Technology
Rajeshwari Chatterjee,physicist,Indian Institute of Science
Ayşe Olcay Tiryaki,physician,Ankara University Medical School
Gaye Usluer,physician,Hacettepe University Faculty of Medicine
Patricia Lindop,physician,Malvern St James
Anna Federmesser,physician,Moscow State Linguistic University
Jan Davis,biologist,Auburn University
Cicely Kate Bertram,biologist,Newnham College
Karen Yeats,mathematician,Boston University
