personLabel,occupationLabel,birthdate,deathdate,nationalityLabel,awardLabel
Barbara Cubin,chemist,1946-11-30T00:00:00Z,,United States of America,
Emily Lovira Gregory,botanist,1840-12-31T00:00:00Z,1897-04-21T00:00:00Z,United States of America,
Klavdija Sergeevna Kildisjeva,engineer,1917-03-06T00:00:00Z,1994-05-02T00:00:00Z,Russia,Hero of Socialist Labour
Susan Montgomery,mathematician,1943-04-02T00:00:00Z,,United States of America,John Simon Guggenheim Memorial Foundation Fellowship
Jelena Vučković,engineer,,,,Fellow of the Optical Society
Gabriele Possanner,physician,1860-01-27T00:00:00Z,1940-03-14T00:00:00Z,Austria,
Raykhan Ibrasheva,chemist,1944-01-01T00:00:00Z,,Kazakhstan,
Harriet Elizabeth Freeman,botanist,1847-03-13T00:00:00Z,1930-12-30T00:00:00Z,United States of America,
Vera Higgins,botanist,1892-01-15T00:00:00Z,1968-01-01T00:00:00Z,United Kingdom of Great Britain and Ireland,
Lieselotte Hromadnik,botanist,1942-01-01T00:00:00Z,,,
Jess Wade,physicist,1988-01-01T00:00:00Z,,,Jocelyn Bell Burnell Medal and Prize
Nataliya Lenhauer,physician,1908-08-20T00:00:00Z,1997-02-10T00:00:00Z,Ukraine,Q55234258
Anneliese Niethammer,botanist,1901-05-11T00:00:00Z,1983-09-15T00:00:00Z,Germany,
Krystyna Bierut-Maminajszwili,engineer,1923-02-12T00:00:00Z,2003-12-21T00:00:00Z,Second Polish Republic,Cross of Valour
Patricia Miloslavich,biologist,1963-11-28T00:00:00Z,,Venezuela,
G̦.  Gavrilova,biologist,1934-02-16T00:00:00Z,2019-02-16T00:00:00Z,Soviet Union,
Veronica Belmont,engineer,1982-07-21T00:00:00Z,,United States of America,
Yuliya Belyanchikova,physician,1940-07-12T00:00:00Z,2011-06-05T00:00:00Z,Russia,Order of the Red Banner of Labour
Klavdija Sergeevna Kildisjeva,engineer,1917-03-06T00:00:00Z,1994-05-02T00:00:00Z,Russia,Order of the Badge of Honour
Cynthia Maung,physician,1959-12-06T00:00:00Z,,Myanmar,N Peace Award
Mehriban Aliyeva,physician,1964-08-26T00:00:00Z,,Azerbaijan,Commander with Star of the Order of Merit of the Republic of Poland
Tinatin Asatiani,physicist,1918-03-12T00:00:00Z,2011-07-20T00:00:00Z,Armenia,Deserved scientist of ArmSSR
Mariamne Johnes,botanist,1784-06-30T00:00:00Z,1811-01-01T00:00:00Z,,
Karin Büttner-Janz,physician,1952-02-17T00:00:00Z,,Germany,Merited Master of Sports of the USSR
Fiona Wood,physician,1958-02-02T00:00:00Z,,United Kingdom,Member of the Order of Australia
Aliya A. Donnell,botanist,,,,
Lucy Bryce,physician,1897-01-01T00:00:00Z,1968-01-01T00:00:00Z,Australia,Commander of the Order of the British Empire
Catherine A. Rushworth,botanist,,,,
Dana Bernátová,botanist,,,,
Gerlinde Hausner,botanist,,,,
Gretchen M. Ionta,botanist,,,,
Danielle Föllmi,physician,1953-01-01T00:00:00Z,,France,
Julia Meirelles,botanist,,,,
