personLabel,personDescription
Karla Hoffman,American operations researcher
Hilana Sedarous,Egyptian surgeon
Sumana Harihareswara,wikimédienne américaine
Maria Stankiewicz,Polish biologist
Evelyn Hu,American physicist
Myriam Sarachik,American physicist
María Gaetana Agnesi,Italian mathematician and philanthropist
Greta Doçi,Wikimedian
Bryony Hope Macmillan,New Zealand botanist (1933-)
Dana Galuszková,Czech politician
Heather Maynard,American chemist
Krystyna Tempska-Cyrankiewicz,Polish rheumatologist
Karina Fidanza Rodrigues Bernardo,botanist
Tatiana Grigórievna Popova,botanist (1898-1982)
Lili Qiu,computer scientist
Kristine French,Australian plant biologist
Mouna Esmaeilzadeh,"Medical doctor, neuroscientist and entrepreneur"
Thelma Krug,Brazilian mathematician
Kateryna Makova,American biologist
سمر الحمود,طبيبة استشارية سعودية مُختصة في جراحة القولون والمستقيم
Pamela Rodriguez-Flakus,mycologist and lichenologist
Elisabet Font Montanyà,Spanish politician
Hélène Flautre,French politician and MEP
Rut Bízková,"Czech politician, former Minister of Environment"
Nadia Badawi,Australian physician
Amélia dos Santos Costa Cardia,Portuguese writer
Ada Fisher,American politician
Annette Hasbrook,NASA flight director
Maria Boguszewska,طبيبة بولندية
Anne Nafi Aussi,minister
"Louisa, Countess of Aylesford",British naturalist and botanical illustrator (1760-1832)
Anna Batchelor,British physician and academic
Catherine Bandle,Swiss mathematician
Jana Synková,"Czech minister of education, youth and sport of the CR, politician and doctor"
Jacqueline Lecourtier,French researcher
Anna Lukianovna Kharadze,Soviet botanist (1905–1971)
Olga Tustanowska,pedagoga polaca
Alicja Dorabialska,Polish chemist
Chrissen E.C. Gemmill,researcher
Danuta Sybilska,Polish chemist
Linda Hazzard,"American quack, fraud, swindler and serial killer"
Julia Jezierska,Polish chemist
Ming C. Lin,American computer scientist
Nélida Sara Troncoso,Argentinian botanist (1914-1988)
Sophie Redmond,first female physician of Suriname descent
Dorota Grejner-Brzezińska,Polish-American civil engineer
Frauke Petry,"German chemist, businesswoman and politician"
Frances Northcutt,NASA Trajectory Engineer Houston
Shantona Bag,Australian doctor and dancer
Marie Farge,mathematician and physicist
Marianne Koch,German actress
Claire Mathieu,French computer scientist and mathematician
Alanna Schepartz,American biochemist
Alyssa A. Goodman,American scientist
Alycia J. Weinberger,astronomer
Mary James (scientist),Professor of Physics
Katie Bouman,American engineer and computer scientist
Elizabeth Taylor,American painter and journalist (1856-1932)
Carmen Domínguez,Spanish glaciologist and polar explorer
Teresa Grzegorczyk-Skibińska,طبيبة بولندية
Franziska Grieder,Swiss-American veterinary scientist
Amy B. Jordan,American astronomer
Suzana Bantaş,"Writer, painter, lawyer, translator and Romanian physician"
Annemarie Heiduk,researcher (ORCID 0000-0002-7857-6646)
Nelya Naumovna Strelchenko,mathematician
Melanie Becker,German physicist
Maria Wilman,"South African  botanist, archaeologist and museum director (1867—1957)"
Anlaug Amanda Djupvik,astronomer
Anke Kracke,German physicist
Emma Bunce,British physicist
Svitlana Makarevska,poet
Andrea Goldsmith,American electrical engineer
Carole Tucker,researcher
Sheila Callender,English physician and haematologist
Amy Foxx-Orenstein,American physician
Emma Harrower,Mycologist
Margaret Neilson Armstrong,"American designer, illustrator, and author (1867-1944)"
Tracy Camp,American computer scientist
Phyllis Bolds,African-American physicist
Hedda Andersson,Swedish physician
Tatyana Nikitina,Russian bard and politician
Julie Swetnick,American computer scientist
Mary Bruins Allison,physician
Mónica López Barahona,spanische Ärztin
Barbara J. Meyer,American biologist
Margaret Cruickshank,New Zealand's first registered female doctor
Marilyn Farquhar,American biologist
Stephanie Schwabe,German marine biologist
Anna Winlock,American astronomer
Ardis Herrold,American astronomer
Rie de Boois,Dutch biologist and politician
Ainissa Ramirez,American materials scientist and science communicator
Monika Auweter-Kurtz,German physicist
Agnieszka Świerczewska-Gwiazda,Polish mathematician
Irina Ivshina,russische Mikrobiologin und Ökologin
Kathrin Barboza Marquez,Bolivian biologist
Moira Burke,American computer scientist working in the field of human-computer interaction
Dagmar Hrubá,Czechoslovak member of Czechoslovak parliament and Czechoslovak politician
Marie Emma Herzig,Czech doctor
Frida Becher von Rüdenhof,"österreichische Ärztin, Frauenrechtsaktivistin und NS-Verfolgte"
Judith Covington,American mathematician
Zelda Zabinsky,industrial engineer and operations researcher
Colette Moeglin,French mathematician
Olatokunbo Somolu,Nigerian structural engineer
Alice Hamilton,American physician and toxicologist
Helen Flanders Dunbar,American psychiatrist
Anne Catrine Møller,Norwegian physician
Beate Lupton,Norwegian physician
Britt-Ingjerd Nesheim,Norwegian physician
Deborah Frincke,American computer scientist
Wendy Yang,American biologist and environmental scientist
Julie Solem Skjæraasen,Norwegian physician
Charlotte Sletten Bjorå,Norwegian botanist
Inger Nordal,Norwegian botanist
Cecilia Sahlgren,"Finnish researcher, Ph.D., professor of cell biology at Åbo Akademi University in Turku, Finland, and part-time associate professor at department of biomechanical engineering of the Eindhoven University of Technology, Netherlands"
Els Goulmy,Dutch biologist
Lee Ehrman,American geneticist
Nkechi Agwu,Nigerian mathematician and historian of mathematics
Sri Rahayu,botanist
JudyAnn Bigby,American physician
Denise Vilela de Rezende,"Brazilian woman agronomist, mycologist, botanist"
Linda Edwards Graham,American woman botanist
Anna Martha Fullerton,"fullerton, Anna Martha"
Núria Tió i Rotllan,Spanish writer and physician
Pearl I. Young,"Physicist, technical editor"
Tatiana Krasnoselskaia,Russian botanist (1884-1950)
Torunn Janbu,Norwegian physician
Sylvia de Neymet,matemática y profesora mexicana
Diane E. Griffin,biologist
Ayşe Soysal,Turkish mathematician
Angeline Stickney,"American suffragist, abolitionist, and mathematician"
Anja Cetti Andersen,Danish astronomer and astrophysicist
Bessie Moses,American gynecologist and obstetrician
Dorothy Celeste Boulding Ferebee,American gynaecologist
Dagmar Berne,Australian woman physician
Eleanor Davies-Colley,British female surgeon
Helen MacMurchy,Canadian doctor and author
Jean Macnamara,Australian medical doctor and scientist
Julia Newton,"medical doctor, professor"
Leonora King,Canadian physician and medical missionary
Mina Bissell,Iranian-American biologist
Sarah Jarvis,"British medical doctor, writer, and broadcaster"
Runhild Gammelsæter,Norwegian singer and biologist
Corrie Hermann,Dutch politician
Eva-Mari Aro,Finnish biologist
Joanna McGrenere,Canadian computer scientist
Kunie Miyaji,pioneer Japanese physician
Helinä Hartikainen,Finnish professor
Anita Rachlis,Canadian physician
Radka Radeva,Bulgarian mathematician
Eugenija Šimkūnaitė,Lithuanian botanist (1920-1996)
Doris Vickers,Austrian archaeoastronomer
Svetha Venkatesh,Indian computer scientist
Lidija Ivanovna Savic-Ljubickaja,Russian botanist and professor (1886-1982)
Shiri Artstein,Israeli mathematician and professor
Thung Sin Nio,"Dutch East Indies teacher, physician, economist, politician and women's rights activist"
Aline Bonami,French mathematician
Wendy Sue Swanson,"American pediatrician, educator and author"
Wendy Arlene Clay,Canadian surgeon general
Wilmatte Porter Cockerell,"American botanist, entomologist, professor and teacher"
Gordana Rajkov,Serbian politician
Isabel Pardo de Vera Posada,President of ADIF
Eva Ramstedt,physicist
Juleen Zierath,American biologist
Margareta Giurgea,Romanian physicist
Montserrat Vendrell,Spanish biologist
Dana Angluin,Professor of computer science
Heidi Schelhowe,deutsche Medienpädagogin und Hochschullehrerin
Barbara Coll,Canadian-American businesswoman
Amy K. LeBlanc,American veterinarian scientist
Jean Bacon,British computer scientist
Goldie Printis Horton,(1887-1972)
Josefina Padilla,médica dominicana
Suzanne Rose Elosu,femme médecin et politicien basque
Ethel Sargant,British botanist (1863-1918)
María Victoria Gil Álvarez,spanische Chemikerin
Kim Rees,American computer scientist
Bonnie Buratti,planetary astronomer
Li Lienfung,Singaporean chemist and writer
Judith Vaitukaitis,Reproductive neuroendocrinologist
Ann Marvet,Estonian botanist
Yasaman Farzan,"Iranian researcher, professor and physicist"
Mona Spiegel-Adolf,österreichisch-US-amerikanische Pathologin und Chemikerin
Margarete von Wrangell,Baltic German agricultural chemist
Charlotte Riefenstahl,German physicist
Christine Sutton,British physicist
Susan Brown,English applied mathematician
Evamarie Hey-Hawkins,German inorganic chemist and professor
Carolyn Hurless,American astronomer
Elizabeth Bukusi,Kenyan physician
Banoo Jehangir Coyaji,Indian physician
Hend Al-mansour,visual artist
Maria Zdziarska-Zaleska,médecin et officier de l'armée polonaise
Loral O'Hara,US astronaut candidate
Melanie Campbell,professor of physics
Sarita Adve,computer scientist and professor
Katarina G. Bonde,Schwedische Informatikerin und Unternehmerin
Laila Ohlgren,"Swedish engineer, inventor"
Maria Christina Bruhn,Swedish chemist and inventor
Sara Snogerup Linse,Swedish chemist (1962)
Sara Benoliel,First female pediatrician in Portugal
Claire F. Gmachl,Austrian electrical engineer
Bernice Giduz Schubert,American botanist & scholar (1913-2000)
Angelina Guskova,Russian neurologist
Z. V. I︠A︡nushevich,Soviet botanist (1916-2005)
Gular Ahmadova,Azerbaijani politician
Alice Motion,"British chemist, science communicator, and lecturer at the School of Chemistry, University of Sydney"
Marketta Sipi,"Finnish engineer, Ph.D. (D.Tech.), professor (University of Helsinki)"
Sanna Syri,"Finnish researcher, engineering physicist, D.Tech., professor of energy technology and economics (Aalto University)"
Tacciana Alaksandraŭna Ždanovič,Soviet Union physician
Chintala Sita Devi,indische Biochemikerin und Ärztin
Linda Petzold,professor of computer science and mechanical engineering
Rosa Viñals Lladós,Spanish physician (1883-1945)
Hettie Belle Ege,American mathematician
Paola Loreti,Italian mathematician
Gwen Alston,British aerodynamicist and educationalist
Sultana N. Nahar,physicist
Pearl Pu,Swiss computer scientist
Ayhan Ulubelen,Turkish scientist
Nanna Svartz,Sweden's first female professor
Zohar Wilbushewich,Israeli engineer
Nadeesha Lewke Bandara,botanist and geneticist
Clara McMillen,American scientist
Veronica Bekoe,Ghanaian Biological Scientist
Meral Özsoyoglu,Turkish-American computer scientist
Lizabeth Dijkstra,Dutch biologist
Bettina Tassino,bióloga y profesora uruguaya.
Kerstin Koch,German botanist
Martine Mergen,Luxembourgish politician
Regina Podstanická,Czechoslovak astronomer
Ethelene Crockett,American physician
Vera Alejandra Alvarez,Argentinian researcher
Neda  Bokan,Serbian mathematician and university teacher
Janina Bogusławska-Jaworska,Polish pediatrician
Ivy Evelyn Woodward,British physician
Sabine Dolderer,deutsche Informatikerin
Seema Bhatnagar,Indian scientist
Carol Espy-Wilson,African American Electrical Engineer
Elizabeth Blackwell,"Scottish botanist, botanical illustrator and author (1707-1758)"
Marie Jonas,German physician
Milagros Andreu Boigues,Spanish practitioner
Sylvia Wiegand,Professor of Mathematics
Diane Gromala,computer scientist
Lisa Gelobter,"computer scientist, technologist and chief executive"
Tan Yunxian,Female physician during China's Ming Dynasty era
Jie Mei Xu,botanist
Anne Westfall,Video game programmer
Aleksandra Link,Estonian physicist
Anne Aan,Estonian biologist
Marie Spångberg,Norwegian physician
Isabel Deane Mitchell,Irish Presbyterian medical missionary in China
Sara Plummer Lemmon,American botanist (1936—1923)
Ruth Deutsch Lechuga,Mexican anthropologist
Alice Lounsberry,"American botanist, dendrologist and author (1872-1949)"
Rebecca Merritt Austin,American botanist and plant collector (1832–1919)
Silke Bühler-Paschen,Austrian physicist
Charlotte Bach,Evolutionary Theorist
Hui Cao,Chinese American physicist
Ingrid Burke,elected 2010 | Connecticut United States Biological Sciences (Section G)
Nadja Diane,botanist
Christine Williams Ayoub,amerikanische Mathematikerin und Hochschullehrerin
Marian Croak,Vice President of Research and Development at Google
Marija Strojnik Scholl,Slovene astrophysicist
Juliet Brodie,phycologist
Elizabeth Stephansen,mathematician
Ida Kaplan Langman,botanist (1904-1991)
Dorothy E. Denning,American information security researcher
Dilian Francisca Toro,Colombian politician
Christina Koch,American astronaut
Ruth Eissler-Selke,American MD & psychoanalyst
Gertrude Jekyll,"garden designer, artist, editor (1843-1932)"
Marie-Anne Libert,Belgian botanist (1782-1865)
Dorte Olesen,Danish mathematician and academic
Ella Puman,mathématicienne estonienne
Debbie C. Crans,professor of chemistry at Colorado State University
Eily Keary,"British naval architect, mechanical engineer"
Ranjana Srivastava,Australian oncologist and author
Annie Bidwell,"American pioneer, suffragist, botanist and botanical collector (1839-1918)"
Janaki Ammal,Indian botanist (1897-1984)
Marilyn Walker,"researcher, Natural Language Processing, University of California Santa Cruz"
Marie-Claude Arnaud,Mathématicienne française
Ellen D. Williams,American scientist
Iris Mack,American academic
Roma Agrawal,British structural engineer
Florica Bagdasar,Romanian physician
Cicely Williams,Jamaican physician
Joan Ruderman,American molecular and cell biologist
L. V. Tabaka,Latvian botanist
Sona Patel,Medical prescriber of cannabis
Mary Hancock McLean,Physician and missionary
Maria Pia Grasso,botanist
Dương Quỳnh Hoa,Vietnamese politician
Erica Larson,American distance runner
Katharine A Michie,Australian physicist
Josephine Mason Milligan,"American botanist, collector, journalist and social activist (1835—1911)"
Esperanza Cabral,Filipino politician
Izabela Nowak,researcher ORCID ID = 0000-0002-1113-9011
Maha Ashour-Abdalla,Egyptian-born physics and astronomy academic
Eliane Ekra,Ivory Coast politician
Désirée Miloshevic,Internet public servant
Diane E. Meier,American geriatrician
Ghada Karmi,Palestinian academic
Dorothy Okello,Ugandan technologist and engineer
Sydney Kustu,microbiologist
Megumi Harada,Canadian mathematician
Gabrijela Ehrlich,طبيبة سلوفينية
Anne Croy,reproductive immunologist
Gertrude Blanch,American mathematician
Swietłana Białłozór,Polish chemical engineer
Diana Marculescu,computer scientist
Heather Lewandowski,American physicist
Susan Wiegrefe,American botanist
Bonnie C. Templeton,American botanist (1906-2002)
Beatrice Rivière,French applied mathematician
Malgorzata Dubiel,Polish mathematician and mathematics educator
Aurèlia Pijoan Querol,Spanish physician (1910-1998)
Luce Langevin,"French physicist, activist and teacher"
Eva Berneke,Danish businessperson
Marie Brown,"activist in South Australia, a founder of the Mothers and Babies Health Association."
Marijke Vos,Dutch politician
Encarnación Rosa Guaglianone,Argentinian botanist (1932-2014)
Kate Violet Edgerley,New Zealand botanist and teacher (1887-1939)
Bin Yu,"Chinese-American statistician, University of California, Berkeley"
Dawn Bowdish,Canadian immunologist
Elvira Rawson,Argentine physician
Wivina Demeester,Belgian politician
Maissy,Indonesian actor and singer
Isabel María Oliver Sagreras,Spanish politician
Gillian Arnold,computer scientist
Kathy Horadam,Australian mathematician
Sarah Hauser,Swiss voice actor
Virginia Livingston,American cancer researcher
Gillian Lovegrove,British computer scientist and academic
Gloria Suzanne Koenigsberger Horowitz,"Mexican astronomer, docent and researcher"
Roberta D’Archino,New Zealand botanist and phycologist
Edith Quimby,American medical researcher
Mireya D. Correa,Panamanian botanist
Agnes Syme Lister,"Botanist, wife and assistant to Joseph Lister"
A.C. Fellingham,botanist
Eva Andersén Karlsson,Swedish docent
Vera Faddeeva,Russian mathematician
Khady Diallo,Francophile and cultural engineer
Mor Harchol-Balter,American computer scientist
Joan Rose,American microbiologist
Petra Levin,American microbiologist
Sandra Savaglio,Italian astrophysicist
Florentina Mosora,Romanian biophysicist
Helen Arney,"British physicist,, stand-up comedian and musician."
Kira Arkadjevna Sobolevskaja,botanist (1911-1999)
Phoebe Lankester,"Lankester [née Pope], Phebe [pseud. Penelope] (1825–1900), writer on botany and health"
Tatiana Toro,Colombian–American mathematician
Elsa Lundanes,Norwegian chemist and professor at University of Oslo
Pixie McKenna,Irish television presenter
Elsie Inglis,Scottish doctor
Carmina Villariba-Tolentino,botanist
Carolyn A. Clark,botanist
Catherine L. Woodward,botanist
Cheryl A. Grgurinovic,botanist
Christina Marie Holzapfel,botanist
Monique Laurent,French computer scientist and mathematician
Sue Bagshaw,New Zealand youth health advocate
Violetta Skrzypulec-Plinta,"Polish gynaecologist, endocrinologist, sexologist, academic"
Anastasia Abramova,Soviet botanist (1915-2012)
Beatriz Roldan Cuenya,Spanish physicist
